PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
-1.5615447839431853,0.4448917057399456,-1.7672091609602287,0.13263476949649916,0.13013820824014427,-0.9068148851575066,0.12233578086384926,-0.330085823451636,0.011548070898389868,0.24961112646475703,0.04646536159441331
-0.760892356780775,1.9150581907422326,-0.8641578020031634,0.5368895349455505,0.0909350530121253,0.8604061650443394,0.9986233035302955,0.7469387510568839,-0.5476436407156208,-0.005195709186728092,-0.13480993322935833
-0.7080853903105483,0.9144231637956188,-1.142362918753772,0.4350754260180581,0.02493983684869079,0.35670189987909534,0.5361620188943016,0.5756520050860887,-0.08411791313114728,0.20371480565577393,-0.12255325134907792
2.3081657571476626,-0.22444796764786712,0.2568951057117683,-0.8306303814102827,-1.6392088640694038,-0.15472036140955006,-0.3004101851423396,-0.49458856084803016,0.11008687828842487,0.12179799623632524,0.31367756396102114
-1.5615447839431276,0.44489170573994574,-1.767209160960241,0.13263476949649797,0.1301382082401465,-0.906814885157522,0.12233578086385093,-0.33008582345163506,0.011548070898401475,0.24961112646474237,0.04646536159438832
-1.5351598347425126,0.5653501068969442,-1.5311666785250317,0.11318898287911965,-0.052379325173732325,-0.9925775699547754,0.07443932304910547,-0.36150054499907386,-0.023674254578775134,0.3516680729795801,0.030824720645983426
-1.0846494117120664,0.6607310774293125,-1.0931981357128415,-0.24082118829326898,-1.1237313399304936,0.12775405191361666,-0.24758321455339224,0.2111460873285164,0.01615473360281026,0.3927713114266047,0.09675315207145392
-2.2176263338875857,-0.3584896445568849,-1.0219558594773253,0.0810389016258955,-0.7514693242478081,0.3035278137298616,-0.14468611068390594,0.07724140359725108,-0.598244528696519,-0.025464953255248828,0.3472184170588385
-1.0413546561023554,-0.30629395233739853,-1.5274749762034552,0.08766988566173102,-0.2147711194616762,-0.508831409713744,-0.260438774498671,0.3907021677158175,-0.3783260180694886,0.24434725706720503,0.11883432581013896
-1.0992080258116521,0.9032531706745723,-0.7585737861024398,0.5489167777884079,-0.890113658489892,0.15320257997767223,-0.6803855742754445,0.5173820507230211,0.22139687849205048,0.2031910411719242,-0.07856803643612247
